ProvID,Name,Capital,Owner,Cores,Culture,Religion,devtax,devprod,devmanp,tradeg,area,region,segion,iscity,inhre,ExtraCost,HasFort
68,Memmingen,Memmingen,MEM,MEM,swabian,catholic,5,5,3,cloth,upper_swabia,south_german,europe,yes,yes,0,no
69,Oberschwaben,Ravensburg,RVA,RVA,swabian,catholic,5,5,1,cloth,upper_swabia,south_german,europe,yes,yes,0,no
70,Württemberg,Stuttgart,WUR,WUR,swabian,catholic,3,3,2,grain,lower_swabia,south_german,europe,yes,yes,0,no
71,Ansbach,Hall,ANS,ANS,franconian,catholic,3,3,1,salt,lower_swabia,south_german,europe,yes,yes,0,no
72,Breisgau,Freiburg,BAD,BAD,swabian,catholic,2,2,1,grain,upper_rhineland,south_german,europe,yes,yes,0,no
73,Tirol,Innsbruck,HAB,HAB&TIR,austrian,catholic,4,4,2,gold,tirol,south_german,europe,yes,yes,0,yes
74,Baden,Baden,BAD,BAD,swabian,catholic,2,2,1,wine,upper_rhineland,south_german,europe,yes,yes,0,no
75,Elsass,Straßburg,ALS,ALS,swabian,catholic,4,4,5,wine,upper_rhineland,south_german,europe,yes,yes,0,yes
76,Salzburg,Salzburg,SLZ,SLZ,austrian,catholic,6,6,4,salt,upper_bavaria,south_german,europe,yes,yes,0,no
77,Heidelberg,Heidelberg,PAL,PAL,hessian,catholic,4,4,2,wine,palatinate,south_german,europe,yes,yes,0,no
78,Mainz,Mainz,MAI,MAI,hessian,catholic,5,5,2,grain,palatinate,south_german,europe,yes,yes,0,no
79,Würzburg,Würzburg,WBG,WBG,franconian,catholic,2,2,2,wine,franconia,south_german,europe,yes,yes,0,yes
80,Trier,Trier,TRI,TRI,hessian,catholic,5,5,2,grain,lower_rhineland,low_countries,europe,yes,yes,0,no
81,Hessen,Marburg,HES,HES,hessian,catholic,4,4,2,wool,hesse,low_countries,europe,yes,yes,0,no
82,Westfalen,Arnsberg,KOL,KOL,hannoverian,catholic,3,3,1,wool,westphalia,low_countries,europe,yes,yes,0,no
83,Nassau,Wiesbaden,NSA,NSA,hessian,catholic,2,2,1,copper,hesse,low_countries,europe,yes,yes,0,no
84,Berg,Düsseldorf,KLE,KLE,hessian,catholic,4,4,1,cloth,north_rhine,low_countries,europe,yes,yes,0,no
85,Köln,Köln,KOL,KOL,hessian,catholic,6,6,3,grain,north_rhine,low_countries,europe,yes,yes,10,yes
86,Münster,Münster,MUN,MUN,hannoverian,catholic,4,4,2,cloth,westphalia,low_countries,europe,yes,yes,0,no
87,Calais,Calais,ENG,ENG,flemish,catholic,5,5,3,fish,flanders,low_countries,europe,yes,no,0,yes
88,Artois,Arras,BUR,BUR&PIC,wallonian,catholic,6,6,3,cloth,picardy,france,europe,yes,no,0,no
89,Picardie,Amiens,BUR,BUR&PIC,cosmopolitan_french,catholic,6,6,5,grain,picardy,france,europe,yes,no,0,yes
90,Vlaanderen,Brugge,FLA,FLA,flemish,catholic,6,6,3,cloth,flanders,low_countries,europe,yes,no,0,no
91,Hainaut,Mons,BUR,BUR&HAI,wallonian,catholic,6,6,3,cloth,wallonia,low_countries,europe,yes,yes,0,no
92,Brabant,Breda,BRB,BRB,dutch,catholic,7,7,4,cloth,brabant,low_countries,europe,yes,no,0,no
93,Liège,Liège,LIE,LIE,wallonian,catholic,6,6,3,iron,luxemburg_liege,low_countries,europe,yes,yes,0,yes
94,Luxemburg,Luxemburg,BUR,BUR&LUX,wallonian,catholic,6,6,2,iron,luxemburg_liege,low_countries,europe,yes,yes,0,yes
95,Breda,Hertogenbosch ,BRB,BRB,dutch,catholic,6,6,2,unknown,brabant,low_countries,europe,yes,yes,0,yes
96,Zeeland,Middelburg,HOL,HOL,dutch,catholic,8,8,3,salt,netherlands,low_countries,europe,yes,yes,0,no
97,Holland,Amsterdam,HOL,HOL,dutch,catholic,8,8,5,fish,netherlands,low_countries,europe,yes,yes,25,yes
98,Utrecht,Utrecht,UTR,UTR,dutch,catholic,7,7,3,cloth,netherlands,low_countries,europe,yes,yes,0,yes
99,Gelre,Arnhem,GEL,GEL,dutch,catholic,6,6,3,grain,frisia,low_countries,europe,yes,yes,0,no
100,Friesland,Groningen,FRI,FRI,dutch,catholic,6,6,4,fish,frisia,low_countries,europe,yes,yes,0,no
101,Genoa,Genova,GEN,GEN,ligurian,catholic,10,10,5,cloth,liguria,italy,europe,yes,yes,10,yes
102,Nice,Nice,SAV,SAV,ligurian,catholic,4,4,2,fish,liguria,italy,europe,yes,yes,0,no
103,Piedmont,Torino,SAV,SAV,piedmontese,catholic,7,7,3,wine,piedmont,italy,europe,yes,yes,0,no
104,Milan,Milano,MLO,MLO,lombard,catholic,11,11,8,cloth,lombardy,italy,europe,yes,yes,10,yes
105,Parma,Parma,MLO,MLO&PAR,romagnan,catholic,6,6,4,grain,emilia_romagna,italy,europe,yes,yes,0,no
106,Modena,Modena,FER,FER&MOD,romagnan,catholic,5,5,2,grain,emilia_romagna,italy,europe,yes,yes,0,no
107,Brescia,Brescia,MLO,MLO,lombard,catholic,8,8,4,cloth,lombardy,italy,europe,yes,yes,0,no
108,Verona,Verona,MLO,MLO,venetian,catholic,8,8,5,grain,venetia,italy,europe,yes,no,0,no
109,Mantua,Mantova,MAN,MAN,romagnan,catholic,9,9,4,grain,lombardy,italy,europe,yes,yes,0,yes
110,Trent,Trent,HAB,HAB&TIR,venetian,catholic,4,4,1,iron,tirol,south_german,europe,yes,yes,0,no
111,Friuli,Udine,AQU,AQU,venetian,catholic,6,6,2,wine,venetia,italy,europe,yes,no,0,no
112,Venezia,Venezia,VEN,VEN,venetian,catholic,10,12,5,cloth,venetia,italy,europe,yes,no,15,no
113,Ferrara,Ferrara,FER,FER,romagnan,catholic,6,6,2,salt,emilia_romagna,italy,europe,yes,yes,10,yes
114,Romagna,Bologna,PAP,PAP,romagnan,catholic,6,6,4,salt,emilia_romagna,italy,europe,yes,no,0,no
115,Pisa,Pisa,PIS,PIS&LAN,tuscan,catholic,6,6,3,wine,tuscany,italy,europe,yes,yes,0,no
116,Firenze,Firenze,LAN,LAN,tuscan,catholic,10,12,6,wine,tuscany,italy,europe,yes,yes,0,yes
117,Siena,Siena,SIE,SIE,tuscan,catholic,8,8,4,cloth,tuscany,italy,europe,yes,yes,0,no
118,Roma,Roma,PAP,PAP,umbrian,catholic,10,10,8,grain,naples,italy,europe,yes,no,10,yes
119,Ancona,Ancona,PAP,PAP,umbrian,catholic,5,5,4,fish,central_italy,italy,europe,yes,no,0,no
120,Abruzzi,L'Aquila,NAP,NAP,neapolitan,catholic,5,5,3,wine,central_italy,italy,europe,yes,no,0,no
121,Napoli,Napoli,NAP,NAP,neapolitan,catholic,9,9,7,grain,naples,italy,europe,yes,no,15,yes
122,Salento,Taranto,NAP,NAP,neapolitan,catholic,3,3,2,wine,apulia,italy,europe,yes,no,0,no
123,Calabria,Reggio di Calabria ,NAP,NAP,sicilian,catholic,2,2,2,fish,calabria,italy,europe,yes,no,0,no
124,Messina,Messina,SIC,SIC&NAP,sicilian,catholic,6,6,5,fish,sicily,italy,europe,yes,no,0,yes
125,Palermo,Palermo,SIC,SIC&NAP,sicilian,catholic,8,8,4,wine,sicily,italy,europe,yes,no,0,no
126,Malta,Mdina,SIC,SIC,maltese,catholic,3,3,2,fish,sicily,italy,europe,yes,no,0,no
127,Sassari,Sassari,SAR,SAR,sardinian,catholic,3,3,2,fish,corsica_sardinia,italy,europe,yes,no,0,no
128,Kärnten,Klagenfurt,HAB,HAB,austrian,catholic,6,6,5,iron,inner_austria,south_german,europe,yes,yes,0,yes
129,Krain,Laibach,HAB,HAB,austrian,catholic,7,7,2,grain,carinthia,south_german,europe,yes,yes,0,no
130,Istria,Trieste,CRO,CRO,croatian,catholic,2,3,3,salt,east_adriatic_coast,balkan,eastern_europe,yes,no,0,no
131,Zagreb,Zagreb,CRO,CRO,croatian,catholic,3,3,1,cloth,croatia,balkan,eastern_europe,yes,no,0,yes
132,Steiermark,Judenburg,HAB,HAB,austrian,catholic,5,5,3,grain,inner_austria,south_german,europe,yes,yes,0,no
133,Linz,Linz,HAB,HAB,austrian,catholic,5,5,4,grain,austria_proper,south_german,europe,yes,yes,0,no
134,Wien,Wien,HAB,HAB,austrian,catholic,7,7,7,wine,austria_proper,south_german,europe,yes,yes,10,yes
135,Sopron,Sopron,HUN,HUN,hungarian,catholic,3,3,2,grain,transdanubia,carpathia,eastern_europe,yes,no,0,no
136,Dalmatia,Zadar,CRO,CRO,croatian,catholic,6,4,3,wool,east_adriatic_coast,balkan,eastern_europe,yes,no,0,yes
137,Ragusa,Ragusa,CRO,CRO,croatian,catholic,5,6,3,naval_supplies,east_adriatic_coast,balkan,eastern_europe,yes,no,15,no
138,Zeta,Zabljak,SER,SER,serbian,orthodox,2,2,1,fish,rascia,balkan,eastern_europe,yes,no,0,no
139,Hum,Mostar,BOS,BOS,serbian,catholic,3,3,2,wool,bosnia,balkan,eastern_europe,yes,no,0,no
140,Bosnia,Doboj,BOS,BOS,serbian,catholic,3,3,1,salt,bosnia,balkan,eastern_europe,yes,no,0,no
141,Smederevo,Smederevo,SER,SER,serbian,orthodox,3,3,2,grain,serbia,balkan,eastern_europe,yes,no,0,yes
142,Corfu,Corfu,BYZ,BYZ,greek,orthodox,4,4,1,fish,northern_greece,balkan,eastern_europe,yes,no,0,yes
143,Vlorë,Vlorë,ALB,ALB,albanian,catholic,2,1,1,wool,albania,balkan,eastern_europe,yes,no,0,no
144,Epirus,Ioannina,BYZ,BYZ,greek,orthodox,3,3,2,wool,northern_greece,balkan,eastern_europe,yes,no,0,no
145,Morea,Mystras,BYZ,BYZ,greek,orthodox,3,3,3,wine,morea,balkan,eastern_europe,yes,no,0,yes
146,Athens,Athens,BYZ,BYZ,greek,orthodox,4,4,3,fish,morea,balkan,eastern_europe,yes,no,0,no
147,Thessaly,Larissa,BYZ,BYZ,greek,orthodox,6,6,2,grain,northern_greece,balkan,eastern_europe,yes,no,0,no
148,Macedonia,Thessaloniki,BYZ,BYZ,greek,orthodox,6,6,2,grain,macedonia,balkan,eastern_europe,yes,no,15,yes
149,Edirne,Edirne,BYZ,BYZ,greek,orthodox,7,7,2,grain,thrace,balkan,eastern_europe,yes,no,0,yes
150,Tarnovo,Tarnovo,BUL,BUL,bulgarian,orthodox,6,6,3,iron,bulgaria,balkan,eastern_europe,yes,no,0,no
151,Constantinople,Constantinople,BYZ,BYZ,greek,orthodox,9,9,5,cloth,thrace,balkan,eastern_europe,yes,no,25,yes
152,Varasd,Varazdin,CRO,CRO,croatian,catholic,4,4,1,cloth,croatia,balkan,eastern_europe,yes,no,0,no
153,Pest,Buda,HUN,HUN,hungarian,catholic,5,4,2,grain,transdanubia,carpathia,eastern_europe,yes,no,10,no
154,Hont,Hont,SLO,SLO,slovak,catholic,3,3,2,gold,slovakia,carpathia,eastern_europe,yes,no,0,no
155,Békés,Gyula,HUN,HUN,hungarian,catholic,2,2,2,wine,alfold,carpathia,eastern_europe,yes,no,0,no
156,Temes,Temesvár,TRA,TRA,transylvanian,catholic,3,3,2,wool,southern_transylvania,carpathia,eastern_europe,yes,no,0,yes
157,Bihar,Oradea,TRA,TRA,transylvanian,catholic,2,2,1,naval_supplies,transylvania,carpathia,eastern_europe,yes,no,0,no
158,Maros,Targu Mures ,TRA,TRA,transylvanian,catholic,3,3,2,wool,transylvania,carpathia,eastern_europe,yes,no,0,no
159,Silistria,Silistra,BUL,BUL,bulgarian,orthodox,5,5,4,fish,bulgaria,balkan,eastern_europe,yes,no,0,no
160,Oltenia,Craiova,WAL,WAL,romanian,orthodox,4,4,2,wool,wallachia,carpathia,eastern_europe,yes,no,0,no
161,Tîrgoviste,Tîrgoviste,WAL,WAL,romanian,orthodox,6,6,4,grain,wallachia,carpathia,eastern_europe,yes,no,0,yes
162,Zemplén,Kassa,SLO,SLO,slovak,catholic,3,2,2,grain,slovakia,carpathia,eastern_europe,yes,no,0,yes
163,Crete,Heraklion,BYZ,BYZ,greek,orthodox,5,5,3,fish,eastern_mediterrenean_islands,anatolia,near_east,yes,no,0,no
164,Naxos,Naxos,BYZ,BYZ,greek,orthodox,2,2,2,wine,western_aegean,balkan,eastern_europe,yes,no,0,no
165,Bern,Bern,SWI,SWI,swiss,catholic,5,5,3,iron,romandie,south_german,europe,yes,yes,0,yes
166,Waldstätte,Schwyz,SWI,SWI,swiss,catholic,4,4,2,iron,switzerland,south_german,europe,yes,yes,0,no
167,Caux,Rouen,ENG,ENG&NRM,normand,catholic,5,5,5,cloth,normandy,france,europe,yes,no,10,no
168,Normandie,Caen,ENG,ENG&NRM,normand,catholic,6,6,5,naval_supplies,normandy,france,europe,yes,no,0,yes
169,Armor,Rennes,BRI,BRI,breton,catholic,5,5,5,cloth,brittany,france,europe,yes,no,0,no
170,Finistère,Brest,BRI,BRI,breton,catholic,3,3,4,naval_supplies,brittany,france,europe,yes,no,0,yes
171,Morbihan,Rohan,BRI,BRI,breton,catholic,4,4,4,fish,brittany,france,europe,yes,no,0,no
172,Nantes,Nantes,BRI,BRI,breton,catholic,6,6,5,salt,brittany,france,europe,yes,no,10,no
173,Labourd,Bayonne,NAV,NAV,basque,catholic,3,3,4,wine,basque_country,iberia,europe,yes,no,0,yes
174,Bordeaux,Bordeaux,FRA,FRA,gascon,catholic,8,8,5,wine,pyrenees,france,europe,yes,no,10,no
175,Armagnac,Auch,FRA,FRA,gascon,catholic,5,5,5,wool,pyrenees,france,europe,yes,no,0,no
176,Béarn,Pau,FRA,FRA,gascon,catholic,4,4,4,wool,pyrenees,france,europe,yes,no,0,no
177,Maine,Le Mans ,FRA,FRA,cosmopolitan_french,catholic,6,6,4,cloth,loire,france,europe,yes,no,0,no
178,Anjou,Angers,FRA,FRA,cosmopolitan_french,catholic,7,7,7,cloth,loire,france,europe,yes,no,0,yes
179,Berry,Bourges,FRA,FRA,cosmopolitan_french,catholic,7,7,5,wine,loire,france,europe,yes,no,0,no
180,Poitou,Poitiers,FRA,FRA&GUY,cosmopolitan_french,catholic,5,4,4,grain,guyenne,france,europe,yes,no,0,yes
181,Rethel,Rethel,NEV,NEV,wallonian,catholic,6,6,2,cloth,wallonia,low_countries,europe,yes,no,0,yes
182,Vermandois,Compiègne,BUR,BUR&PIC,cosmopolitan_french,catholic,5,5,4,grain,picardy,france,europe,yes,no,0,no
183,Paris,Paris,FRA,FRA,cosmopolitan_french,catholic,11,11,10,cloth,seine,france,europe,yes,no,0,yes
184,Orleanais,Orléans,FRA,FRA,cosmopolitan_french,catholic,8,8,7,grain,loire,france,europe,yes,no,0,no
185,Nemours,Nemours,FRA,FRA,cosmopolitan_french,catholic,6,6,6,grain,seine,france,europe,yes,no,0,no
186,Champagne,Reims,FRA,FRA,cosmopolitan_french,catholic,8,8,6,wine,seine,france,europe,yes,no,10,no
187,Barrois,Bar-le-Duc,LOR,LOR,burgundian,catholic,5,5,5,cloth,lorraine,france,europe,yes,yes,0,yes
188,Metz,Metz,LOR,LOR,burgundian,catholic,6,6,5,iron,lorraine,france,europe,yes,yes,0,no
189,Lothringen,Nancy,LOR,LOR,burgundian,catholic,6,6,6,iron,lorraine,france,europe,yes,yes,0,no
190,Bourbon,Moulins,FRA,FRA,cosmopolitan_french,catholic,5,5,4,iron,massif_central,france,europe,yes,no,0,no
191,Nevers,Nevers,BUR,BUR,burgundian,catholic,6,6,4,grain,bourgogne,france,europe,yes,no,0,no
192,Bourgogne,Dijon,BUR,BUR,burgundian,catholic,8,8,7,wine,bourgogne,france,europe,yes,no,0,yes
193,Franche-Comté,Besançon,BUR,BUR,burgundian,catholic,5,5,4,salt,bourgogne,france,europe,yes,yes,0,no
194,Bergerac,Bergerac,FRA,FRA&GUY,gascon,catholic,4,4,4,wine,guyenne,france,europe,yes,no,0,no
195,Limousin,Limoges,FRA,FRA,gascon,catholic,5,5,2,grain,massif_central,france,europe,yes,no,0,no
196,Toulouse,Toulouse,FRA,FRA&TOU,occitain,catholic,7,7,6,wine,languedoc,france,europe,yes,no,0,no
197,Roussillon,Perpignan,ARA,ARA&CAT,catalan,catholic,4,4,4,wine,catalonia,iberia,europe,yes,no,0,yes
198,Rouergue,Rodez,FRA,FRA,occitain,catholic,4,4,2,wool,massif_central,france,europe,yes,no,0,no
199,Auvergne,Clermont,FRA,FRA,occitain,catholic,4,4,3,iron,massif_central,france,europe,yes,no,0,no
200,Languedoc,Montpellier,FRA,FRA&TOU,occitain,catholic,7,7,6,cloth,languedoc,france,europe,yes,no,0,no
201,Provence,Aix-en-Provence,PRO,PRO,occitain,catholic,7,7,7,wine,provence,france,europe,yes,no,10,yes
202,Avignon,Avignon,PRO,PRO,occitain,catholic,3,3,4,cloth,provence,france,europe,yes,no,0,yes
203,Lyonnais,Lyon,FRA,FRA,occitain,catholic,8,8,7,grain,savoy_dauphine,france,europe,yes,no,15,yes
204,Dauphiné,Grenoble,FRA,FRA,occitain,catholic,5,5,5,wool,savoy_dauphine,france,europe,yes,no,0,no
205,Savoie,Chambéry,FRA,FRA,occitain,catholic,9,9,5,cloth,savoy_dauphine,france,europe,yes,yes,0,no
206,Galicia,A Corunha ,CAS&GAL,CAS&GAL,galician,catholic,3,3,3,fish,asturias,iberia,europe,yes,no,0,no
207,Asturias,Oviedo,CAS&GAL,CAS&GAL,galician,catholic,5,5,3,salt,asturias,iberia,europe,yes,no,0,no
208,León,León,CAS,CAS&LON,leonese,catholic,5,5,2,grain,leon,iberia,europe,yes,no,0,no
209,Vizcaya,Bilbao,NAV,NAV,basque,catholic,2,2,2,iron,basque_country,iberia,europe,yes,no,0,no
210,Navarra,Pamplona,NAV,NAV,basque,catholic,3,2,2,iron,basque_country,iberia,europe,yes,no,0,no
211,Pirineo,Huesca,ARA,ARA,aragonese,catholic,3,2,2,wool,aragon,iberia,europe,yes,no,0,yes
212,Girona,Girona,ARA,ARA&CAT,catalan,catholic,3,3,3,fish,catalonia,iberia,europe,yes,no,0,no
213,Barcelona,Barcelona,ARA,ARA&CAT,catalan,catholic,6,6,3,wine,catalonia,iberia,europe,yes,no,0,no
214,Zaragoza,Zaragoza,ARA,ARA,aragonese,catholic,6,6,5,iron,aragon,iberia,europe,yes,no,0,no
215,Castilla La Vieja,Valladolid,CAS,CAS,castillian,catholic,5,3,2,wool,castille,iberia,europe,yes,no,0,yes
216,Salamanca,Salamanca,CAS,CAS&LON,leonese,catholic,6,6,7,grain,leon,iberia,europe,yes,no,0,no
217,Madrid,Madrid,CAS,CAS,castillian,catholic,6,6,5,cloth,castille,iberia,europe,yes,no,0,no
218,Badajoz,Badajoz,CAS,CAS&LON,leonese,catholic,4,4,4,wool,leon,iberia,europe,yes,no,0,no
219,Toledo,Toledo,CAS,CAS,castillian,catholic,6,6,4,iron,toledo,iberia,europe,yes,no,0,yes
220,València,València,ARA,ARA&CAT,catalan,catholic,6,5,3,cloth,valencia,iberia,europe,yes,no,15,yes
221,Murcia,Cartagena,CAS,CAS,castillian,catholic,5,4,5,grain,toledo,iberia,europe,yes,no,0,no
222,Almería,Almería,GRA,GRA,andalucian,sunni,2,2,2,grain,upper_andalucia,iberia,europe,yes,no,0,no
223,Granada,Granada,GRA,GRA,andalucian,sunni,6,6,3,salt,upper_andalucia,iberia,europe,yes,no,0,yes
